review_text,rating,isrecommended
I usually take a small but the waist bands for these kind of shorts/leggings run kind of tight so I got a medium.  The band fit great…. But the shorts it self were shorter than i thought and didnt stay in place (a lil to big),4,TRUE
"I looove the texture of the clothing, I bought shorts that compliment me, dont ride up and don't give me a camel toe. Also love the long sleeve cropped black top along with the shorts. Makes me feel and look like a gym-junkie... because I am! Haha. Cannot wait to try the leggings!",5,TRUE
"Look good in my opinion, and as great storage space",5,TRUE
"Is totally see through, which is not visible in the pictures and the upper band is too tight.",3,FALSE
It’s really good shaker but if you keep it on the side for to long then it’s leaking that the only bad thing about it but for all the rest it’s good product really usefull,4,TRUE
Great comfortable product sizes Mach perfect just the right length,5,TRUE
Durchsichtig beim squat Test egal ob passende Größe oder eine Größe mehr,1,FALSE
"I’ve worn the leggings 3 times and the seams are fraying already, really disappointed as they cost a lot and they were a great to myself I’m gutted that my money was wasted",2,FALSE
"Lightweight, breathable, flexible, and stylish!!!!",5,TRUE
The color was fit but I don't like the new style of the energy shorts I personally prefer the old style better.,1,FALSE
LOVE THESE LEGGINGS!! they are absolutely amazing to workout in. good to squat in so that’s a plus! and they make the booty look good!!!,5,TRUE
"Super cute & durable bag. I'm a huge fan, love the color. I own 2 of them!",5,TRUE
Completely see-through and terrible quality. I expected better.,1,FALSE
"I love the shorts, just wish they had pockets on the sides instead of just on the inner layer",5,TRUE
I like the grip on the bottom of the shorts. Great high waist,5,TRUE
Not as good as other leggings. Not sure if I had a bad batch but design was odd and the crunch bum seam was off,1,FALSE
Great quality perfect fit for gym and Everyday wear,5,TRUE
"The bad part is that a S is too big for my 37"" chest, hanging too open at the sides.  Would really like to have an XS.  The cut of the shirt is very nice and the material is good.  Although, the material could be lighter for southern California summers.",3,FALSE
Generell eine super tolle leggings aber zwei Sterne Abzug. Einmal weil die Hose gerne runter rutscht obwohl die passt. Eine Nummer kleiner wäre zu eng und zweitens weil die nicht squat proof ist und man durch sehen kann beim bücken,3,FALSE
it was amazing and so flattering it sucks you in at all the right spots,5,TRUE
Not as stretchy material as old flex. Gymshark dont do as good leggings anymore,2,FALSE
"light, confortable and feel free. What more do you need in a short that you can still wear at home, at the gym or out.",5,TRUE
"I got one faulty leggings, I emailed you guys and I didn't receive answer.",3,FALSE
"This is the most comfortable and can I say motivational set I’ve ever had! I know a lot about your company and that makes me love your activewear even more! Thank you so much for doing such a great job, can’t wait to order more!",5,TRUE
The best tights I have ever worn! Fit perfectly and don’t fall down when running.,5,TRUE
I can’t say that I have had any issues with Gymshark products. I got a large in this sports bra and it fit perfectly!! I’m a 34DD. Gymshark is my #1 for workout pieces. All their products are quality pieces.,5,TRUE
"Not at all stretchy and feel very heavy, but do feel good quality",2,FALSE
Bought as a birthday present for my niece Who loves them !!,5,TRUE
"Cute color and style! The shorts are on the shorter side! I wanted to love them, but I ordered a size too big and they kept riding up my leg.",3,FALSE
"Amazing material, super soft & breathable!! Such a beautiful color",5,TRUE
"Love them. I have another pair in medium so I went with a large. the band is a lot bigger (granted the size), I just wish they were a bit looser in the calf, as a medium would be better. other than that I love the color and they're soft.",4,TRUE
Great fit but the removable padding is a bit of a hassle. Better to just remove it as soon as you get it.,4,TRUE
Love this hoody so much. Perfect fit and great quality,3,FALSE
My new dark green vital seamless is amazing ! Wearing it now actually along with the sports bra. Can’t wait to hit leg day today. The material is soft and hugs just right. Im wearing a large in sports bra and medium in shorts. Im 5’3”. Gymshark for life !,5,TRUE
a little tight but don’t worry they do stretch!!!!,5,TRUE
"Good quality , buy not my style ,i have loose skin ( a lot)around the waist and makes it look worse.",4,TRUE
"Decent quality bottle, but will be returning it because after a week of using it, cap is broken.",4,TRUE
The top keeps braking off on the first wash and can’t use after that,1,FALSE
These are transparent...I usually buy my Gymshark leggings because they re squat-proof. Not this one!,1,FALSE
"The clothes are so comfy, stretchy and the most amazing brand of workout clothes I have worn and I just feel so confident in my gym shark!!!! I had to buy another pair of pants because they broke but so worth it!!!",4,TRUE
"Soft and comfy, love the thumb holes, not very easy to iron",5,TRUE
"It’s a beautiful fit. If you’re expecting an extreme hold in the tummy area, you may not find it; however, the extra support in the bra area was far better than any other one piece I’ve experienced. All in all, I love this piece and I will get the one in black soon.",4,TRUE
"Solid material, the color is exactly like the photo and it fit perfect.",5,TRUE
"Really great fit, complements my big build nicely.",5,TRUE
The colour is not what I have expected. The shorts keep pulling up. Not a good material.,1,FALSE
"I love this holdall, the design is great and comfortable to carry! Just don't expect to fit your shoes in the wet pocket, the bag is a small one!",4,TRUE
I absolutely love these socks! I ordered a size medium (my socks always shrink) and they are my go-to’s. I gave a 4 star as I wish the socks were a little thicker. But still amazing.,4,TRUE
Great quality and excellent service and fits perfect,5,TRUE
super comfy. I bought these (size small) while being six months pregnant and they still fit me and my shape amazing.,5,TRUE
Super cute and holds your hair great when swimming!,5,TRUE
love the bag cause its so versatile and has a lot o space,5,TRUE
"Fantastic fit, super comfortable. Would definitely buy again.",5,TRUE
Slightly thicker material than I expected- can be uncomfortable if you do it incorrectly but once I found the best way to wrap them they worked great :),4,TRUE
"Love these. 
I’m 5’3 and I often find leggings fit way too long on me, these are perfect though!",5,TRUE
Sooooo stretchy and comfortable for any activity!!!,5,TRUE
"Good quality, nice thickness of material and does not go see through when you carry out squats in the squat rack.",5,TRUE
There was a rip in the material but really nice jumper,3,FALSE
Used to be a huge gymshark goer but their sizing is horribly bad,1,FALSE
nice colour and quality but super big particularly around the crotch which was weird considering I bought a few other items in the same size and they fit perfectly fine,2,FALSE
"Bin super zufrieden, sehr blickdicht, gemütlich und absolut zu empfehlen",5,TRUE
"Bequem, optimal fürs Training! Kann ich nur empfehlen.",5,TRUE
"giving 2 stars because the vital seamless are awesome as always but I am very unpleased with the sizing of the tops. I ordered my true size and the tops arrived and they fit much more like a medium than an XL. Not to mention there was little to no stretch in the black top I ordered which I find very odd for a workout top. with that,  I am very unhappy that gym shark is failing to provide proper sizing for a range of people like me.",2,FALSE
"It’s like adapt and vital had a baby. Beautiful true to size fit, love the design. 10/10",5,TRUE
"Amazing quality, super high waisted and very comfy! Also nice and long too. Highly recommend!",5,TRUE
"Sitzt eng, aber man kann sich trotzdem frei bewegen.",5,TRUE
Absolutely LOVE this top! I’m buying more colours. So comfy. Perfection!,5,TRUE
"Well priced, top performing sportswear, with a great look",5,TRUE
"Super strechy, Im size M and curvy but could have easily size down to S! Love them!",5,TRUE
"Au top, ne s’enfilent pas, ne font pas mal au niveau des oreilles, et vous aurez le meilleur flow dans la salle !",5,TRUE
"love how is loose fitted. The letters on the back are bright and bold, feels very smooth and very comfortable. I wear even when not at gym. Loveeeeeee i bought in white and black and also purchased the crop top which is same very form fitting.",5,TRUE
Super cute. Perfect size for me! Not too big and not too small 10/10,5,TRUE
The fit was loose at the top and tight at the bottom so not entirely flattering. The material was plasticised. Overall good for the gym however.,4,TRUE
Great feeling and stretchy. Good for any workout. 100% would recommend,5,TRUE
J’aime bcp le jogging seulement dès que je l’ai mis il s’est cassé en bas au niveau de l’élastique.. dommage pour le prix..,1,FALSE
#NAME?,5,TRUE
"Great clothing, very happy with the purchase (leggings, sports bra and two tops) all fits perfect in the body. Good quality of clothes. Love it! Delivery was fantastic, next day, no problems at all.",5,TRUE
"These are the Best leggings. Super soft, not see through.. and are squat proof",5,TRUE
Really soft fits perfectly would recommend if u need this item,5,TRUE
Great but wash before using other wise u will be covered in fluff,4,TRUE
Seams have split on both legs first time of wearing,1,FALSE
"My only complaint is that the pants slide down during your workout and the light grey was unflattering to my mom pouch. The material is soft and the sizing was accurate. Overall, comfy workout gear and would order again.",4,TRUE
Gymshark makes me feel so good in the gym and everywhere I go. The quality of the products is absolutely amazing.  I’m already so excited for my next purchase. Thank you!,5,TRUE
"Ordered gym shorts, t-shirts and hoodies. I have found the quality excellent, the service prompt and efficient and I am overall very impressed with Gymshark.",5,TRUE
They are kind of see through. I wouldn’t wear them to workout. Great leggings to wear out tho.,3,FALSE
Copine très contente…………………………..……………….……………………………,5,TRUE
My favorite shorts ever! Perfect length and fit. I need all the colors !!,5,TRUE
"I still don’t know why a gym clothing company can’t figure out that a seam right down the front middle of men’s shorts is not comfortable at all. Other manufacturers seem to have figured out that an offset seam is much more comfortable for males’ anatomy. 
Also, this colour immediately marks up with black marks from weights, which is not ideal, but to be expected I suppose.",2,FALSE
These are the most comfy and well made gym tights. I love them & want them in more colours now!,5,TRUE
"Great compression waist band, super comfortable and really cute. Only issue i had was a slight camel toe with these leggings but if that doesn’t bother you i definitely recommend!",4,TRUE
These joggers are great. The are incredibly soft. The only down side is they started pilling where my thighs rub together pretty quickly.,4,TRUE
"Shorts arrived much darker than pictured, but are very comfortable and lightweight. I would give five stars if the color matches.",4,TRUE
Really Bad quality my whole house is fluff everytime i take my clothes off I have to spend 1 hr vacuuming the house,1,FALSE
"super comfy, the color is amazing. Should have took a size smaller the bra. but it fits perfectly anyway.",5,TRUE
Flasche ging leider schon am ersten Tag kaputt. Der Verschluss war an der Lagerung bzw. am Deckel schon angebrochen und schon beim ersten öffnen hatte ich leider den Verschluss in der Hand.. benutzen kann ich sie aber noch.,1,FALSE
It’s a tad bit to small for me but overall a great quality gym bag ! I would definitely say it’s more for someone just starting off or someone who doesn’t carry a lot of stuff. The only reason I give this a 4/5 stars is because the shoe compartment is too small. I’m a size 8W and it’s sized more for a 6W. The inside is a very nice material and has a very sleek look. Gives a “I go to the gym A LOT” look lol. I love it !,4,TRUE
